,Viernes,Sábado,Domingo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado
,1/11/2024,2/11/2024,3/11/2024,4/11/2024,5/11/2024,6/11/2024,7/11/2024,8/11/2024,9/11/2024,10/11/2024,11/11/2024,12/11/2024,13/11/2024,14/11/2024,15/11/2024,16/11/2024,17/11/2024,18/11/2024,19/11/2024,20/11/2024,21/11/2024,22/11/2024,23/11/2024,24/11/2024,25/11/2024,26/11/2024,27/11/2024,28/11/2024,29/11/2024,30/11/2024
BROU SALDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poner saldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saldo comienzo de mes," $  22.200,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sueldo Noviembre," $  19.491,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presentismo," $  1.126,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beca," $  1.000,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" $  21.617,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egresos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residencia,,,," $  6.500,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,
shania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verduras o frutas,,,,,,,,,,," $  252,00 ",," $  120,00 "," $  285,00 ",,,,," $  181,00 ",,,,,,,,,,,
remedios,,,,,,,,,,,,,," $  500,00 ",,,,,,,,,,,,,,,,
devoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuota CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retiro brou,,,,,,,,,,," $  500,00 ",,,,,,,,,,,,,,,,,,,
recarga antel,,,,,,,,,,,," $  325,00 ",,,,,,,,,,,,," $  325,00 ",,,,,
disco," $  260,00 "," $  200,00 ",," $  370,00 ",," $  420,00 ",," $  475,00 ",,," $  257,00 "," $  160,00 ",,,,," $  335,00 "," $  579,00 "," $  405,00 "," $  350,00 ",,,,,,,,,," $  600,00 "
STM,,,,,,,,,,,,,,," $  500,00 ",,,,,,,,,,,,,,,
comida trabajo," $  700,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mc helado,," $  150,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
traspaso a USD,,,," $  2.200,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,
juntadas,,,,,,,,,,,," $  600,00 ",,,,,,,,,," $  200,00 ",,,,,,,,
perfumes,,,," $  860,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,
TATA,,,,,,,,,,," $  85,00 ",,,,," $  100,00 ",," $  300,00 ",,,,,,,,,,,,
Nacional,,,,,,,,,,,,,,,,,,,,," $  300,00 ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" $  19.394,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahorro actual del mes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" $  2.223,00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahorro Anterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHORRO NOVIEMBRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mando 100 USD y quedo con 1250 usd ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,